,LLH,energy_res,ident,ts,conv,phi_astro,gamma,delta_ts
0,global,baseline,IceCube,-307073.7773538268,1.0,1.0,3.2,
1,local,baseline,IceCube,-307069.50688617874,1.0277561246302631,0.4,2.7,4.2704676480498165
2,local,baseline,IceCube,-307070.00928284193,1.0293704667437313,0.4,2.75,3.7680709848646075
3,local,baseline,IceCube,-307070.187000189,1.0307961614628751,0.4,2.8,3.5903536378173158
4,local,baseline,IceCube,-307070.1360620954,1.0320488955629892,0.4,2.8499999999999996,3.6412917313864455
5,local,baseline,IceCube,-307069.92839274707,1.0331401034189047,0.4,2.8999999999999995,3.8489610797259957
6,local,baseline,IceCube,-307069.617814668,1.0340909481339051,0.4,2.9499999999999993,4.1595391588052735
7,local,baseline,IceCube,-307069.2444987402,1.0348999578025213,0.4,2.999999999999999,4.5328550866106525
8,local,baseline,IceCube,-307068.8382860072,1.0355781453254487,0.4,3.049999999999999,4.939067819621414
9,local,baseline,IceCube,-307068.4211805158,1.0361349483964657,0.4,3.0999999999999988,5.356173311010934
10,local,baseline,IceCube,-307068.0092295889,1.036574284549735,0.4,3.1499999999999986,5.768124237889424
11,local,baseline,IceCube,-307067.61394826794,1.0369016050411348,0.4,3.1999999999999984,6.163405558851082
12,local,baseline,IceCube,-307067.24340275425,1.0371243408047064,0.4,3.2499999999999982,6.533951072546188
13,local,baseline,IceCube,-307066.90303727094,1.0372402137790997,0.4,3.299999999999998,6.87431655585533
14,local,baseline,IceCube,-307066.5963070615,1.0372559682282827,0.4,3.349999999999998,7.181046765297651
15,local,baseline,IceCube,-307066.32516409387,1.0371755825134836,0.4,3.3999999999999977,7.452189732925035
16,local,baseline,IceCube,-307066.09043043305,1.03699376977115,0.4,3.4499999999999975,7.686923393746838
17,local,baseline,IceCube,-307065.89208567445,1.0367165576498973,0.4,3.4999999999999973,7.885268152342178
18,local,baseline,IceCube,-307065.72948795115,1.0363369086158993,0.4,3.549999999999997,8.047865875647403
19,local,baseline,IceCube,-307065.6015435283,1.0358630040192984,0.4,3.599999999999997,8.175810298474971
20,local,baseline,IceCube,-307065.50683559536,1.0352926306080676,0.4,3.649999999999997,8.270518231438473
21,local,baseline,IceCube,-307065.44372037036,1.0346140437610112,0.4,3.6999999999999966,8.333633456437383
22,local,baseline,IceCube,-307065.4103958034,1.033833603713171,0.4,3.7499999999999964,8.366958023398183
23,local,baseline,IceCube,-307065.4049463838,1.0329514770802526,0.4,3.7999999999999963,8.372407443006523
24,local,baseline,IceCube,-307065.4253663367,1.031955822255517,0.4,3.849999999999996,8.351987490081228
25,local,baseline,IceCube,-307065.4695633693,1.0308430258896142,0.4,3.899999999999996,8.30779045750387
26,local,baseline,IceCube,-307065.5353442657,1.0296155661054696,0.4,3.9499999999999957,8.24200956110144
27,local,baseline,IceCube,-307069.47067604604,1.0237794357175398,0.45,2.7,4.3066777807543986
28,local,baseline,IceCube,-307070.27809361735,1.0255020164212731,0.45,2.75,3.499260209442582
29,local,baseline,IceCube,-307070.6867861791,1.027026405958045,0.45,2.8,3.090567647712305
30,local,baseline,IceCube,-307070.8091806713,1.0283622812293893,0.45,2.8499999999999996,2.968173155502882
31,local,baseline,IceCube,-307070.72996549634,1.0295291860550155,0.45,2.8999999999999995,3.047388330451213
32,local,baseline,IceCube,-307070.5129365082,1.0305402679014848,0.45,2.9499999999999993,3.2644173185690306
33,local,baseline,IceCube,-307070.2060842627,1.0314013910051243,0.45,2.999999999999999,3.571269564097747
34,local,baseline,IceCube,-307069.8453977547,1.0321244167348507,0.45,3.049999999999999,3.931956072105095
35,local,baseline,IceCube,-307069.45772415213,1.0327149308087256,0.45,3.0999999999999988,4.319629674660973
36,local,baseline,IceCube,-307069.0629298766,1.0331789144247159,0.45,3.1499999999999986,4.71442395017948
37,local,baseline,IceCube,-307068.6755410449,1.0335197784979577,0.45,3.1999999999999984,5.101812781882472
38,local,baseline,IceCube,-307068.3059937748,1.0337474802889202,0.45,3.2499999999999982,5.4713600520044565
39,local,baseline,IceCube,-307067.96159041265,1.0338618769504717,0.45,3.299999999999998,5.815763414138928
40,local,baseline,IceCube,-307067.6472330755,1.0338648472061558,0.45,3.349999999999998,6.130120751273353
41,local,baseline,IceCube,-307067.3659876132,1.0337578188939158,0.45,3.3999999999999977,6.411366213578731
42,local,baseline,IceCube,-307067.1195179894,1.0335479380274386,0.45,3.4499999999999975,6.657835837395396
43,local,baseline,IceCube,-307066.9084209723,1.0332312074936942,0.45,3.4999999999999973,6.868932854500599
44,local,baseline,IceCube,-307066.7324840658,1.03280203173933,0.45,3.549999999999997,7.044869760982692
45,local,baseline,IceCube,-307066.59088334,1.0322685517695411,0.45,3.599999999999997,7.186470486805774
46,local,baseline,IceCube,-307066.4823342411,1.0316220515580268,0.45,3.649999999999997,7.295019585697446
47,local,baseline,IceCube,-307066.40520436515,1.0308711045072823,0.45,3.6999999999999966,7.372149461647496
48,local,baseline,IceCube,-307066.3575946335,1.0299973911463067,0.45,3.7499999999999964,7.419759193318896
49,local,baseline,IceCube,-307066.337393436,1.0290109045720812,0.45,3.7999999999999963,7.439960390795022
50,local,baseline,IceCube,-307066.34230602055,1.0279045512352454,0.45,3.849999999999996,7.435047806240618
51,local,baseline,IceCube,-307066.36986135086,1.026669694459055,0.45,3.899999999999996,7.407492475933395
52,local,baseline,IceCube,-307066.4173979282,1.0253009596836038,0.45,3.9499999999999957,7.359955898602493
53,local,baseline,IceCube,-307069.16967413446,1.019922370102385,0.5,2.7,4.607679692329839
54,local,baseline,IceCube,-307070.30704426457,1.0217400482142376,0.5,2.75,3.470309562224429
55,local,baseline,IceCube,-307070.96874756843,1.0233591924615704,0.5,2.8,2.808606258360669
56,local,baseline,IceCube,-307071.2839290349,1.0247745863016036,0.5,2.8499999999999996,2.4934247919009067
57,local,baseline,IceCube,-307071.35031548806,1.0260113391825851,0.5,2.8999999999999995,2.427038338733837
58,local,baseline,IceCube,-307071.24191494996,1.0270819863201255,0.5,2.9499999999999993,2.535438876831904
59,local,baseline,IceCube,-307071.01474587596,1.0279867148168245,0.5,2.999999999999999,2.762607950833626
60,local,baseline,IceCube,-307070.7111268097,1.028747482496538,0.5,3.049999999999999,3.0662270170869306
61,local,baseline,IceCube,-307070.3629065244,1.0293673666505536,0.5,3.0999999999999988,3.414447302406188
62,local,baseline,IceCube,-307069.9939088003,1.0298541128628118,0.5,3.1499999999999986,3.7834450264927
