,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
0,2018,0,0°,IceCube,4.326271033345045e-14,3,4.326271033345045
1,2018,30,30°,IceCube,2.3928287713528536e-14,3,2.3928287713528538
2,2019,0,0°,IceCube,4.0527517095755986e-14,3,4.052751709575599
3,2019,30,30°,IceCube,2.2373818645511895e-14,3,2.2373818645511894
4,2020,0,0°,IceCube,3.823709494502001e-14,3,3.8237094945020007
5,2020,30,30°,IceCube,2.1075049656440106e-14,3,2.1075049656440106
6,2021,0,0°,IceCube,3.6283894086561395e-14,3,3.6283894086561395
7,2021,30,30°,IceCube,1.996973554711784e-14,3,1.9969735547117842
8,2022,0,0°,IceCube,3.4593321533059405e-14,3,3.4593321533059407
9,2022,30,30°,IceCube,1.9014811394760014e-14,3,1.9014811394760014
10,2023,0,0°,IceCube,3.311647722774033e-14,3,3.311647722774033
11,2023,30,30°,IceCube,1.8179458040052454e-14,3,1.8179458040052454
12,2024,0,0°,IceCube,3.1801092187044865e-14,3,3.1801092187044864
13,2024,30,30°,IceCube,1.7440973513003477e-14,3,1.7440973513003477
14,2025,0,0°,IceCube,3.062901615169522e-14,3,3.0629016151695216
15,2025,0,0°,Plenum-1,3.062901615169522e-14,3,3.0629016151695216
16,2025,30,30°,IceCube,1.6782223877654583e-14,3,1.6782223877654583
17,2025,30,30°,Plenum-1,1.6782223877654583e-14,3,1.6782223877654583
18,2026,-30,-30°,Plenum-1,1.2094579450214053e-13,3,12.094579450214052
19,2026,0,0°,IceCube,2.957447329226483e-14,3,2.9574473292264827
20,2026,0,0°,Plenum-1,2.8203288360935315e-14,3,2.8203288360935317
21,2026,30,30°,IceCube,1.6190003617474952e-14,3,1.6190003617474953
22,2026,30,30°,Plenum-1,1.6018105971747052e-14,3,1.6018105971747052
23,2027,-30,-30°,Plenum-1,7.802566253516721e-14,3,7.802566253516721
24,2027,0,0°,IceCube,2.8618839750740883e-14,3,2.8618839750740883
25,2027,0,0°,Plenum-1,2.6255021916157803e-14,3,2.62550219161578
26,2027,30,30°,IceCube,1.565396951197836e-14,3,1.565396951197836
27,2027,30,30°,Plenum-1,1.5346379216911708e-14,3,1.5346379216911707
28,2028,-30,-30°,Plenum-1,6.091459368735705e-14,3,6.0914593687357055
29,2028,0,0°,IceCube,2.7747684619919172e-14,3,2.774768461991917
30,2028,0,0°,Plenum-1,2.4647677998544658e-14,3,2.464767799854466
31,2028,30,30°,IceCube,1.5165879517261577e-14,3,1.5165879517261578
32,2028,30,30°,Plenum-1,1.474993798650358e-14,3,1.4749937986503578
33,2029,-30,-30°,Plenum-1,4.4134028545544917e-14,3,4.413402854554492
34,2029,0,0°,IceCube,2.6949424371625065e-14,3,2.6949424371625064
35,2029,0,0°,Plenum-1,2.2671606771391272e-14,3,2.267160677139127
36,2029,30,30°,IceCube,1.4719077723684758e-14,3,1.4719077723684757
37,2029,30,30°,Plenum-1,1.4146911404241114e-14,3,1.4146911404241114
38,2030,-30,-30°,Plenum-1,3.6033369831186226e-14,3,3.6033369831186226
39,2030,0,0°,IceCube,2.6214489008970834e-14,3,2.6214489008970836
