,Year,dec,dec_label,identifier,dp_flux,sigma,scaled_flux
0,2020,0,0°,IceCube extrapolated,3.8309439389606293e-14,3,0.3830943938960629
1,2020,0,0°,PLEnuM,3.8309439389606293e-14,3,0.3830943938960629
2,2020,30,30°,IceCube extrapolated,2.12490727697402e-14,3,0.212490727697402
3,2020,30,30°,PLEnuM,2.12490727697402e-14,3,0.212490727697402
4,2021,0,0°,IceCube extrapolated,3.631654832210684e-14,3,0.3631654832210684
5,2021,0,0°,PLEnuM,3.631654832210684e-14,3,0.3631654832210684
6,2021,30,30°,IceCube extrapolated,2.0112481101225026e-14,3,0.20112481101225024
7,2021,30,30°,PLEnuM,2.0112481101225026e-14,3,0.20112481101225024
8,2022,0,0°,IceCube extrapolated,3.459231282759136e-14,3,0.3459231282759136
9,2022,0,0°,PLEnuM,3.459231282759136e-14,3,0.3459231282759136
10,2022,30,30°,IceCube extrapolated,1.9133282986570462e-14,3,0.19133282986570463
11,2022,30,30°,PLEnuM,1.9133282986570462e-14,3,0.19133282986570463
12,2023,0,0°,IceCube extrapolated,3.309069040623398e-14,3,0.3309069040623398
13,2023,0,0°,PLEnuM,3.309069040623398e-14,3,0.3309069040623398
14,2023,30,30°,IceCube extrapolated,1.8278691818960803e-14,3,0.18278691818960802
15,2023,30,30°,PLEnuM,1.8278691818960803e-14,3,0.18278691818960802
16,2024,0,0°,IceCube extrapolated,3.17572402247877e-14,3,0.31757240224787703
17,2024,0,0°,PLEnuM,3.17572402247877e-14,3,0.31757240224787703
18,2024,30,30°,IceCube extrapolated,1.7524700637560037e-14,3,0.17524700637560037
19,2024,30,30°,PLEnuM,1.7524700637560037e-14,3,0.17524700637560037
20,2025,0,0°,IceCube extrapolated,3.057026296197921e-14,3,0.30570262961979205
21,2025,0,0°,PLEnuM,3.057026296197921e-14,3,0.30570262961979205
22,2025,30,30°,IceCube extrapolated,1.6853259755491908e-14,3,0.1685325975549191
23,2025,30,30°,PLEnuM,1.6853259755491908e-14,3,0.1685325975549191
24,2026,-30,-30°,PLEnuM,1.2079746476046676e-13,3,1.2079746476046676
25,2026,0,0°,IceCube extrapolated,2.9503935372249096e-14,3,0.29503935372249096
26,2026,0,0°,PLEnuM,2.8144484964326657e-14,3,0.28144484964326655
27,2026,30,30°,IceCube extrapolated,1.6250527667804176e-14,3,0.16250527667804177
28,2026,30,30°,PLEnuM,1.6076494922834512e-14,3,0.1607649492283451
29,2027,-30,-30°,PLEnuM,7.793235712608055e-14,3,0.7793235712608054
30,2027,0,0°,IceCube extrapolated,2.853883970907142e-14,3,0.28538839709071423
31,2027,0,0°,PLEnuM,2.6197021460172276e-14,3,0.26197021460172276
32,2027,30,30°,IceCube extrapolated,1.5705692057231924e-14,3,0.15705692057231924
33,2027,30,30°,PLEnuM,1.539468109888489e-14,3,0.15394681098884888
34,2028,-30,-30°,PLEnuM,6.084371800891622e-14,3,0.6084371800891621
35,2028,0,0°,IceCube extrapolated,2.766008089928816e-14,3,0.2766008089928816
36,2028,0,0°,PLEnuM,2.4590848517194174e-14,3,0.24590848517194175
37,2028,30,30°,IceCube extrapolated,1.5210143351405097e-14,3,0.15210143351405098
38,2028,30,30°,PLEnuM,1.4790086026247958e-14,3,0.1479008602624796
39,2029,-30,-30°,PLEnuM,5.1218742978200473e-14,3,0.5121874297820047
40,2029,0,0°,IceCube extrapolated,2.6855623464928542e-14,3,0.2685562346492854
41,2029,0,0°,PLEnuM,2.323781382518404e-14,3,0.2323781382518404
42,2029,30,30°,IceCube extrapolated,1.4756983273321367e-14,3,0.14756983273321367
43,2029,30,30°,PLEnuM,1.424931161277512e-14,3,0.1424931161277512
44,2030,-30,-30°,PLEnuM,4.490734112452177e-14,3,0.4490734112452177
45,2030,0,0°,IceCube extrapolated,2.6115651121974604e-14,3,0.26115651121974603
46,2030,0,0°,PLEnuM,2.2078786530259256e-14,3,0.22078786530259256
47,2030,30,30°,IceCube extrapolated,1.4340567727466512e-14,3,0.14340567727466513
48,2030,30,30°,PLEnuM,1.3761982620081159e-14,3,0.1376198262008116
49,2031,-30,-30°,PLEnuM,3.6438483318591425e-14,3,0.36438483318591425
50,2031,0,0°,IceCube extrapolated,2.5432076840769275e-14,3,0.25432076840769274
51,2031,0,0°,PLEnuM,2.0602898234551143e-14,3,0.20602898234551142
52,2031,30,30°,IceCube extrapolated,1.3956250114548374e-14,3,0.13956250114548374
53,2031,30,30°,PLEnuM,1.3263239108931134e-14,3,0.13263239108931132
54,2032,-30,-30°,PLEnuM,3.1342626926609874e-14,3,0.31342626926609873
55,2032,0,0°,IceCube extrapolated,2.479816549275276e-14,3,0.2479816549275276
56,2032,0,0°,PLEnuM,1.9380000513001985e-14,3,0.19380000513001985
57,2032,30,30°,IceCube extrapolated,1.3600137067425433e-14,3,0.13600137067425433
58,2032,30,30°,PLEnuM,1.2813648462895522e-14,3,0.12813648462895522
59,2033,-30,-30°,PLEnuM,2.78570840095766e-14,3,0.278570840095766
60,2033,0,0°,IceCube extrapolated,2.420818312606761e-14,3,0.2420818312606761
61,2033,0,0°,PLEnuM,1.8345880979146193e-14,3,0.18345880979146192
62,2033,30,30°,IceCube extrapolated,1.3269011081916857e-14,3,0.13269011081916857
63,2033,30,30°,PLEnuM,1.2405610626031707e-14,3,0.12405610626031707
64,2034,-30,-30°,PLEnuM,2.5295337775677042e-14,3,0.2529533777567704
65,2034,0,0°,IceCube extrapolated,2.3657341740960747e-14,3,0.23657341740960747
66,2034,0,0°,PLEnuM,1.7456946929120973e-14,3,0.17456946929120973
67,2034,30,30°,IceCube extrapolated,1.2960099464442163e-14,3,0.12960099464442162
68,2034,30,30°,PLEnuM,1.2033231492250816e-14,3,0.12033231492250816
69,2035,-30,-30°,PLEnuM,2.330793559619247e-14,3,0.23307935596192472
70,2035,0,0°,IceCube extrapolated,2.3141569887486827e-14,3,0.23141569887486826
71,2035,0,0°,PLEnuM,1.668241766434325e-14,3,0.1668241766434325
72,2035,30,30°,IceCube extrapolated,1.2671061519292959e-14,3,0.1267106151929296
73,2035,30,30°,PLEnuM,1.1691616682738587e-14,3,0.11691616682738587
74,2036,-30,-30°,PLEnuM,2.1024490156820787e-14,3,0.21024490156820788
75,2036,0,0°,IceCube extrapolated,2.2657294276068112e-14,3,0.22657294276068113
76,2036,0,0°,PLEnuM,1.577511213091061e-14,3,0.1577511213091061
77,2036,30,30°,IceCube extrapolated,1.2399878983315317e-14,3,0.12399878983315317
78,2036,30,30°,PLEnuM,1.1332239317676642e-14,3,0.11332239317676641
79,2037,-30,-30°,PLEnuM,1.9285873896099358e-14,3,0.19285873896099356
80,2037,0,0°,IceCube extrapolated,2.2201478479067606e-14,3,0.22201478479067605
81,2037,0,0°,PLEnuM,1.4997888289848885e-14,3,0.14997888289848885
82,2037,30,30°,IceCube extrapolated,1.2144804848921097e-14,3,0.12144804848921098
83,2037,30,30°,PLEnuM,1.1003368350879605e-14,3,0.11003368350879605
84,2038,-30,-30°,PLEnuM,1.790672227314447e-14,3,0.1790672227314447
85,2038,0,0°,IceCube extrapolated,2.1771468291046387e-14,3,0.21771468291046386
86,2038,0,0°,PLEnuM,1.4322636260389982e-14,3,0.14322636260389981
87,2038,30,30°,IceCube extrapolated,1.1904322673661196e-14,3,0.11904322673661197
88,2038,30,30°,PLEnuM,1.0700887628558078e-14,3,0.10700887628558078
89,2039,-30,-30°,PLEnuM,1.677910907131291e-14,3,0.16779109071312912
90,2039,0,0°,IceCube extrapolated,2.1364922952146745e-14,3,0.21364922952146745
91,2039,0,0°,PLEnuM,1.3729025730040124e-14,3,0.13729025730040123
92,2039,30,30°,IceCube extrapolated,1.1677107477590076e-14,3,0.11677107477590076
93,2039,30,30°,PLEnuM,1.0421509514268412e-14,3,0.10421509514268412
94,2040,-30,-30°,PLEnuM,1.5835449783592435e-14,3,0.15835449783592434
95,2040,0,0°,IceCube extrapolated,2.0979806380384052e-14,3,0.20979806380384053
96,2040,0,0°,PLEnuM,1.3201945046625269e-14,3,0.13201945046625269
97,2040,30,30°,IceCube extrapolated,1.1462002522792421e-14,3,0.11462002522792421
98,2040,30,30°,PLEnuM,1.0162437966348217e-14,3,0.10162437966348217
99,2041,-30,-30°,PLEnuM,1.503103327974914e-14,3,0.1503103327974914
100,2041,0,0°,IceCube extrapolated,2.0614319772050837e-14,3,0.20614319772050838
101,2041,0,0°,PLEnuM,1.2185696899568728e-14,3,0.12185696899568728
102,2041,30,30°,IceCube extrapolated,1.125797716004159e-14,3,0.11257977160041589
103,2041,30,30°,PLEnuM,9.129645999442989e-15,3,0.09129645999442988
104,2042,-30,-30°,PLEnuM,1.4334950120616762e-14,3,0.14334950120616763
105,2042,0,0°,IceCube extrapolated,2.0266863133012426e-14,3,0.20266863133012425
106,2042,0,0°,PLEnuM,1.1369971341323808e-14,3,0.11369971341323808
107,2042,30,30°,IceCube extrapolated,1.1064115225009473e-14,3,0.11064115225009473
108,2042,30,30°,PLEnuM,8.352867633579114e-15,3,0.08352867633579114
109,2043,-30,-30°,PLEnuM,1.3725078743013548e-14,3,0.13725078743013547
110,2043,0,0°,IceCube extrapolated,1.9936012661161515e-14,3,0.19936012661161515
111,2043,0,0°,PLEnuM,1.0697414092890853e-14,3,0.10697414092890853
112,2043,30,30°,IceCube extrapolated,1.087962547937163e-14,3,0.1087962547937163
113,2043,30,30°,PLEnuM,7.741916263359562e-15,3,0.07741916263359562
114,2044,-30,-30°,PLEnuM,1.3185125128659106e-14,3,0.13185125128659106
115,2044,0,0°,IceCube extrapolated,1.9620495415492933e-14,3,0.19620495415492933
116,2044,0,0°,PLEnuM,1.0130564668663931e-14,3,0.10130564668663931
117,2044,30,30°,IceCube extrapolated,1.070377743719836e-14,3,0.1070377743719836
118,2044,30,30°,PLEnuM,7.245454272772745e-15,3,0.07245454272772746
119,2045,-30,-30°,PLEnuM,1.2702781014348858e-14,3,0.12702781014348857
120,2045,0,0°,IceCube extrapolated,1.9319175410051865e-14,3,0.19319175410051864
121,2045,0,0°,PLEnuM,9.645253813231343e-15,3,0.09645253813231343
122,2045,30,30°,IceCube extrapolated,1.053592430311144e-14,3,0.1053592430311144
123,2045,30,30°,PLEnuM,6.8319077947492825e-15,3,0.06831907794749283
124,2046,-30,-30°,PLEnuM,1.2268561982149859e-14,3,0.12268561982149859
125,2046,0,0°,IceCube extrapolated,1.9031025013193046e-14,3,0.19031025013193045
126,2046,0,0°,PLEnuM,9.222439082181759e-15,3,0.09222439082181759
127,2046,30,30°,IceCube extrapolated,1.0375484201124421e-14,3,0.10375484201124421
128,2046,30,30°,PLEnuM,6.480656731309183e-15,3,0.06480656731309183
129,2047,-30,-30°,PLEnuM,1.1875029822388844e-14,3,0.11875029822388844
130,2047,0,0°,IceCube extrapolated,1.8755121707422154e-14,3,0.18755121707422154
131,2047,0,0°,PLEnuM,8.850208877698793e-15,3,0.08850208877698794
132,2047,30,30°,IceCube extrapolated,1.0221931497744183e-14,3,0.10221931497744183
133,2047,30,30°,PLEnuM,6.177603231895602e-15,3,0.06177603231895602
134,2048,-30,-30°,PLEnuM,1.1516248416256006e-14,3,0.11516248416256006
135,2048,0,0°,IceCube extrapolated,1.8490625247586825e-14,3,0.18490625247586825
136,2048,0,0°,PLEnuM,8.519243017241571e-15,3,0.08519243017241572
137,2048,30,30°,IceCube extrapolated,1.0074793285154595e-14,3,0.10074793285154596
138,2048,30,30°,PLEnuM,5.912645925918652e-15,3,0.05912645925918652
139,2049,-30,-30°,PLEnuM,1.1187424792825356e-14,3,0.11187424792825357
140,2049,0,0°,IceCube extrapolated,1.8236779808099133e-14,3,0.18236779808099132
141,2049,0,0°,PLEnuM,8.222456183081205e-15,3,0.08222456183081206
142,2049,30,30°,IceCube extrapolated,9.93364233134665e-15,3,0.0993364233134665
143,2049,30,30°,PLEnuM,5.678512720689715e-15,3,0.05678512720689715
144,2050,-30,-30°,PLEnuM,1.0884635644910735e-14,3,0.10884635644910735
145,2050,0,0°,IceCube extrapolated,1.79928931513797e-14,3,0.17992893151379702
146,2050,0,0°,PLEnuM,7.954364178198089e-15,3,0.0795436417819809
147,2050,30,30°,IceCube extrapolated,9.798081994106772e-15,3,0.09798081994106772
148,2050,30,30°,PLEnuM,5.469695672934161e-15,3,0.054696956729341606
149,2051,-30,-30°,PLEnuM,1.060465824770654e-14,3,0.10604658247706539
150,2051,0,0°,IceCube extrapolated,1.7758336447417405e-14,3,0.17758336447417405
151,2051,0,0°,PLEnuM,7.710626652381481e-15,3,0.07710626652381482
152,2051,30,30°,IceCube extrapolated,9.667763478268479e-15,3,0.09667763478268479
153,2051,30,30°,PLEnuM,5.2819470232470086e-15,3,0.052819470232470085
154,2052,-30,-30°,PLEnuM,1.034477922936448e-14,3,0.1034477922936448
155,2052,0,0°,IceCube extrapolated,1.7532533791041472e-14,3,0.1753253379104147
156,2052,0,0°,PLEnuM,7.487803555478425e-15,3,0.07487803555478426
157,2052,30,30°,IceCube extrapolated,9.542356956005279e-15,3,0.0954235695600528
158,2052,30,30°,PLEnuM,5.111991806182901e-15,3,0.05111991806182901
159,2053,-30,-30°,PLEnuM,1.0102723291139014e-14,3,0.10102723291139014
160,2053,0,0°,IceCube extrapolated,1.7314958828057246e-14,3,0.17314958828057248
161,2053,0,0°,PLEnuM,7.28301205517482e-15,3,0.0728301205517482
162,2053,30,30°,IceCube extrapolated,9.42156605904353e-15,3,0.09421566059043529
163,2053,30,30°,PLEnuM,4.957180109918999e-15,3,0.04957180109918999
164,2054,-30,-30°,PLEnuM,9.876563643572909e-15,3,0.09876563643572908
165,2054,0,0°,IceCube extrapolated,1.7105125366428014e-14,3,0.17105125366428015
166,2054,0,0°,PLEnuM,7.093994213984074e-15,3,0.07093994213984074
167,2054,30,30°,IceCube extrapolated,9.305116055754874e-15,3,0.09305116055754874
168,2054,30,30°,PLEnuM,4.8154073206259615e-15,3,0.04815407320625961
169,2020,0,0°,IceCube extrapolated,5.942014299077541e-14,5,0.594201429907754
170,2020,0,0°,PLEnuM,5.942014299077541e-14,5,0.594201429907754
171,2020,30,30°,IceCube extrapolated,3.3291373188814995e-14,5,0.33291373188814993
172,2020,30,30°,PLEnuM,3.3291373188814995e-14,5,0.33291373188814993
173,2021,0,0°,IceCube extrapolated,5.623825679457015e-14,5,0.5623825679457015
174,2021,0,0°,PLEnuM,5.623825679457015e-14,5,0.5623825679457015
175,2021,30,30°,IceCube extrapolated,3.1457198720035826e-14,5,0.3145719872003583
176,2021,30,30°,PLEnuM,3.1457198720035826e-14,5,0.3145719872003583
177,2022,0,0°,IceCube extrapolated,5.3495128486292465e-14,5,0.5349512848629246
178,2022,0,0°,PLEnuM,5.3495128486292465e-14,5,0.5349512848629246
179,2022,30,30°,IceCube extrapolated,2.988027559868053e-14,5,0.2988027559868053
180,2022,30,30°,PLEnuM,2.988027559868053e-14,5,0.2988027559868053
181,2023,0,0°,IceCube extrapolated,5.1105577570235474e-14,5,0.5110557757023547
