,Local source density,width,Fraction of total flux,E2flux,Nsrc,cumulative_Nsrc,flux
0,$10^{-6}$/Mpc$^3$,SC,1.0,0.0,0.0,0.0,-3.5999999999999996
1,$10^{-6}$/Mpc$^3$,SC,1.0,-0.23489932885905773,0.0,0.0,-3.8348993288590574
2,$10^{-6}$/Mpc$^3$,SC,1.0,-0.46979865771812257,0.0,0.0,-4.069798657718122
3,$10^{-6}$/Mpc$^3$,SC,1.0,-0.7046979865771803,0.0,0.0,-4.30469798657718
4,$10^{-6}$/Mpc$^3$,SC,1.0,-0.9395973154362451,0.0,0.0,-4.539597315436245
5,$10^{-6}$/Mpc$^3$,SC,1.0,-1.1744966442953029,0.0,0.0,-4.7744966442953025
6,$10^{-6}$/Mpc$^3$,SC,1.0,-1.4093959731543606,0.0,0.0,-5.00939597315436
7,$10^{-6}$/Mpc$^3$,SC,1.0,-1.6442953020134254,0.0,0.0,-5.244295302013425
8,$10^{-6}$/Mpc$^3$,SC,1.0,-1.8791946308724832,0.0,0.0,-5.479194630872483
9,$10^{-6}$/Mpc$^3$,SC,1.0,-2.114093959731548,0.0,0.0,-5.714093959731548
10,$10^{-6}$/Mpc$^3$,SC,1.0,-2.3489932885906057,0.0,0.0,-5.948993288590605
11,$10^{-6}$/Mpc$^3$,SC,1.0,-2.5838926174496635,0.0,0.0,-6.183892617449663
12,$10^{-6}$/Mpc$^3$,SC,1.0,-2.8187919463087283,0.0,0.0,-6.418791946308728
13,$10^{-6}$/Mpc$^3$,SC,1.0,-3.053691275167786,0.0,0.0,-6.653691275167786
14,$10^{-6}$/Mpc$^3$,SC,1.0,-3.2885906040268473,0.0,0.0,-6.888590604026847
15,$10^{-6}$/Mpc$^3$,SC,1.0,-3.5234899328859086,0.0,0.0,-7.123489932885908
16,$10^{-6}$/Mpc$^3$,SC,1.0,-3.7583892617449663,0.0,0.0,-7.358389261744966
17,$10^{-6}$/Mpc$^3$,SC,1.0,-3.9932885906040276,0.0,0.0,-7.593288590604027
18,$10^{-6}$/Mpc$^3$,SC,1.0,-4.228187919463089,0.0,0.0,-7.828187919463089
19,$10^{-6}$/Mpc$^3$,SC,1.0,-4.463087248322147,0.0,0.0,-8.063087248322146
20,$10^{-6}$/Mpc$^3$,SC,1.0,-4.697986577181208,0.0,0.0,-8.297986577181208
21,$10^{-6}$/Mpc$^3$,SC,1.0,-4.932885906040269,0.0,0.0,-8.532885906040269
22,$10^{-6}$/Mpc$^3$,SC,1.0,-5.1677852348993305,0.0,0.0,-8.76778523489933
23,$10^{-6}$/Mpc$^3$,SC,1.0,-5.402684563758392,0.0,0.0,-9.002684563758391
24,$10^{-6}$/Mpc$^3$,SC,1.0,-5.6375838926174495,0.0,0.0,-9.23758389261745
25,$10^{-6}$/Mpc$^3$,SC,1.0,-5.872483221476511,0.0,0.0,-9.47248322147651
26,$10^{-6}$/Mpc$^3$,SC,1.0,-6.107382550335572,0.0,0.0,-9.707382550335572
27,$10^{-6}$/Mpc$^3$,SC,1.0,-6.34228187919463,0.0,0.0,-9.94228187919463
28,$10^{-6}$/Mpc$^3$,SC,1.0,-6.577181208053691,0.0,0.0,-10.17718120805369
29,$10^{-6}$/Mpc$^3$,SC,1.0,-6.812080536912752,0.0,0.0,-10.412080536912752
30,$10^{-6}$/Mpc$^3$,SC,1.0,-7.046979865771814,0.002445123546051537,0.002445123546051537,-10.646979865771813
31,$10^{-6}$/Mpc$^3$,SC,1.0,-7.281879194630875,0.0068038854461237325,0.009249008992175269,-10.881879194630875
32,$10^{-6}$/Mpc$^3$,SC,1.0,-7.516778523489933,0.0,0.009249008992175269,-11.116778523489932
33,$10^{-6}$/Mpc$^3$,SC,1.0,-7.751677852348994,0.0,0.009249008992175269,-11.351677852348994
34,$10^{-6}$/Mpc$^3$,SC,1.0,-7.986577181208055,0.00027119077133538216,0.009520199763510652,-11.586577181208055
35,$10^{-6}$/Mpc$^3$,SC,1.0,-8.221476510067113,0.013358783215948218,0.02287898297945887,-11.821476510067113
36,$10^{-6}$/Mpc$^3$,SC,1.0,-8.456375838926174,0.022121116347115007,0.04500009932657388,-12.056375838926174
37,$10^{-6}$/Mpc$^3$,SC,1.0,-8.691275167785236,0.0,0.04500009932657388,-12.291275167785235
38,$10^{-6}$/Mpc$^3$,SC,1.0,-8.926174496644297,0.033102176934536015,0.0781022762611099,-12.526174496644296
39,$10^{-6}$/Mpc$^3$,SC,1.0,-9.161073825503358,0.1080788605472526,0.1861811368083625,-12.761073825503358
40,$10^{-6}$/Mpc$^3$,SC,1.0,-9.395973154362416,0.17890979926564712,0.3650909360740096,-12.995973154362416
41,$10^{-6}$/Mpc$^3$,SC,1.0,-9.630872483221477,0.2678962855561642,0.6329872216301737,-13.230872483221477
42,$10^{-6}$/Mpc$^3$,SC,1.0,-9.865771812080538,0.6088520420034034,1.241839263633577,-13.465771812080538
43,$10^{-6}$/Mpc$^3$,SC,1.0,-10.100671140939596,1.2958920123378337,2.537731275971411,-13.700671140939596
44,$10^{-6}$/Mpc$^3$,SC,1.0,-10.335570469798657,2.610694879387726,5.148426155359137,-13.935570469798657
45,$10^{-6}$/Mpc$^3$,SC,1.0,-10.570469798657719,6.0460960357258635,11.194522191085,-14.170469798657718
46,$10^{-6}$/Mpc$^3$,SC,1.0,-10.80536912751678,11.31944444569841,22.51396663678341,-14.40536912751678
47,$10^{-6}$/Mpc$^3$,SC,1.0,-11.040268456375841,25.571646181591106,48.085612818374514,-14.640268456375841
48,$10^{-6}$/Mpc$^3$,SC,1.0,-11.275167785234899,54.4613404570197,102.54695327539422,-14.875167785234899
49,$10^{-6}$/Mpc$^3$,SC,1.0,-11.51006711409396,117.71300642195492,220.25995969734913,-15.11006711409396
50,$10^{-6}$/Mpc$^3$,SC,1.0,-11.744966442953022,240.392194117278,460.6521538146271,-15.344966442953021
51,$10^{-6}$/Mpc$^3$,SC,1.0,-11.97986577181208,510.23339712294387,970.885550937571,-15.579865771812079
52,$10^{-6}$/Mpc$^3$,SC,1.0,-12.21476510067114,1028.867311600215,1999.752862537786,-15.81476510067114
53,$10^{-6}$/Mpc$^3$,SC,1.0,-12.449664429530202,2097.396966422626,4097.149828960412,-16.049664429530203
54,$10^{-6}$/Mpc$^3$,SC,1.0,-12.684563758389263,4079.734523481354,8176.884352441766,-16.28456375838926
55,$10^{-6}$/Mpc$^3$,SC,1.0,-12.919463087248324,8065.75443732941,16242.638789771176,-16.519463087248326
56,$10^{-6}$/Mpc$^3$,SC,1.0,-13.154362416107382,15529.917868961074,31772.55665873225,-16.754362416107384
57,$10^{-6}$/Mpc$^3$,SC,1.0,-13.389261744966444,29009.73751869258,60782.29417742483,-16.98926174496644
58,$10^{-6}$/Mpc$^3$,SC,1.0,-13.624161073825505,53699.83147936831,114482.12565679314,-17.224161073825506
59,$10^{-6}$/Mpc$^3$,SC,1.0,-13.859060402684563,95863.73675822858,210345.86241502172,-17.459060402684564
60,$10^{-6}$/Mpc$^3$,SC,1.0,-14.093959731543624,168528.84105182713,378874.7034668488,-17.69395973154362
61,$10^{-6}$/Mpc$^3$,SC,1.0,-14.328859060402685,286651.14411553205,665525.8475823809,-17.928859060402687
62,$10^{-6}$/Mpc$^3$,SC,1.0,-14.563758389261746,468656.6986184817,1134182.5462008626,-18.163758389261744
63,$10^{-6}$/Mpc$^3$,SC,1.0,-14.798657718120808,723397.5827708899,1857580.1289717525,-18.39865771812081
64,$10^{-6}$/Mpc$^3$,SC,1.0,-15.033557046979865,1043696.1282475344,2901276.2572192866,-18.633557046979867
65,$10^{-6}$/Mpc$^3$,SC,1.0,-15.268456375838927,1362242.8513651043,4263519.108584391,-18.868456375838925
