,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
0,2018,0,0°,IceCube,1.937914627640535e-13,3,1.937914627640535
1,2018,30,30°,IceCube,1.2252865236264872e-13,3,1.2252865236264872
2,2019,0,0°,IceCube,1.7867108601553963e-13,3,1.7867108601553963
3,2019,30,30°,IceCube,1.1239443148344887e-13,3,1.1239443148344888
4,2020,0,0°,IceCube,1.662444526649357e-13,3,1.6624445266493568
5,2020,30,30°,IceCube,1.0410154626417398e-13,3,1.0410154626417398
6,2021,0,0°,IceCube,1.5582006562775213e-13,3,1.5582006562775212
7,2021,30,30°,IceCube,9.7170737808213e-14,3,0.97170737808213
8,2022,0,0°,IceCube,1.4693045473313723e-13,3,1.4693045473313722
9,2022,30,30°,IceCube,9.128390300949941e-14,3,0.9128390300949941
10,2023,0,0°,IceCube,1.3924506166932138e-13,3,1.3924506166932138
11,2023,30,30°,IceCube,8.621292404079175e-14,3,0.8621292404079175
12,2024,0,0°,IceCube,1.3252357014161e-13,3,1.3252357014161
13,2024,30,30°,IceCube,8.178990392801554e-14,3,0.8178990392801554
14,2025,0,0°,IceCube,1.2658678606756691e-13,3,1.265867860675669
15,2025,0,0°,Plenum-1,1.2658678606756691e-13,3,1.265867860675669
16,2025,30,30°,IceCube,7.789402521794754e-14,3,0.7789402521794754
17,2025,30,30°,Plenum-1,7.789402521794754e-14,3,0.7789402521794754
18,2026,-30,-30°,Plenum-1,9.520010423214877e-13,3,9.520010423214877
19,2026,0,0°,IceCube,1.2129819281216284e-13,3,1.2129819281216285
20,2026,0,0°,Plenum-1,1.1628508342323934e-13,3,1.1628508342323933
21,2026,30,30°,IceCube,7.443318445275069e-14,3,0.7443318445275069
22,2026,30,30°,Plenum-1,7.332341824350263e-14,3,0.7332341824350264
23,2027,-30,-30°,Plenum-1,5.348829872300732e-13,3,5.348829872300732
24,2027,0,0°,IceCube,1.1655178581002363e-13,3,1.1655178581002363
25,2027,0,0°,Plenum-1,1.0788799050037772e-13,3,1.0788799050037772
26,2027,30,30°,IceCube,7.133473973127552e-14,3,0.7133473973127552
27,2027,30,30°,Plenum-1,6.93781069729476e-14,3,0.693781069729476
28,2028,-30,-30°,Plenum-1,3.860589039680261e-13,3,3.860589039680261
29,2028,0,0°,IceCube,1.122639945796226e-13,3,1.122639945796226
30,2028,0,0°,Plenum-1,1.0088834256295978e-13,3,1.0088834256295978
31,2028,30,30°,IceCube,6.854268225475781e-14,3,0.685426822547578
32,2028,30,30°,Plenum-1,6.593174815359667e-14,3,0.6593174815359667
33,2029,-30,-30°,Plenum-1,2.499131713482736e-13,3,2.499131713482736
