# E/TeV, psi/deg
1.00000e+3, 7.75127e-1
1.08196e+3, 7.64205e-1
1.17853e+3, 7.51245e-1
1.27280e+3, 7.38296e-1
1.36582e+3, 7.24973e-1
1.46251e+3, 7.12017e-1
1.56270e+3, 6.99123e-1
1.66263e+3, 6.85361e-1
1.76140e+3, 6.71826e-1
1.85809e+3, 6.58417e-1
1.95171e+3, 6.45397e-1
2.04568e+3, 6.31833e-1
2.14418e+3, 6.18068e-1
2.24741e+3, 6.04303e-1
2.35562e+3, 5.90653e-1
2.46904e+3, 5.77003e-1
2.58791e+3, 5.64017e-1
2.71251e+3, 5.50915e-1
2.83704e+3, 5.37367e-1
2.96095e+3, 5.23812e-1
3.10352e+3, 5.10146e-1
3.26688e+3, 4.96973e-1
3.44620e+3, 4.83268e-1
3.65093e+3, 4.69911e-1
3.88440e+3, 4.56430e-1
4.14164e+3, 4.43394e-1
4.41592e+3, 4.29766e-1
4.72853e+3, 4.16432e-1
5.05246e+3, 4.03929e-1
5.35262e+3, 3.90209e-1
5.69491e+3, 3.76763e-1
6.13729e+3, 3.63502e-1
6.68510e+3, 3.50403e-1
7.31301e+3, 3.38446e-1
7.99989e+3, 3.26217e-1
8.75128e+3, 3.13625e-1
9.55282e+3, 3.00637e-1
1.03833e+4, 2.87400e-1
1.13101e+4, 2.74565e-1
1.23724e+4, 2.64165e-1
1.35345e+4, 2.52934e-1
1.48057e+4, 2.41930e-1
1.61964e+4, 2.30199e-1
1.77176e+4, 2.20162e-1
1.93818e+4, 2.10231e-1
2.12022e+4, 2.01056e-1
2.31937e+4, 1.92334e-1
2.53722e+4, 1.83732e-1
2.77553e+4, 1.76764e-1
3.03622e+4, 1.70022e-1
3.32140e+4, 1.63991e-1
3.63337e+4, 1.57990e-1
3.97463e+4, 1.52442e-1
4.34795e+4, 1.47378e-1
4.75634e+4, 1.42239e-1
5.20308e+4, 1.38263e-1
5.69179e+4, 1.33728e-1
6.22639e+4, 1.27954e-1
6.81121e+4, 1.22300e-1
7.45096e+4, 1.16254e-1
8.15080e+4, 1.10495e-1
8.91638e+4, 1.06383e-1
9.75386e+4, 1.03390e-1
1.06700e+5, 1.00110e-1
1.16722e+5, 9.55450e-2
1.27685e+5, 9.14938e-2
1.39678e+5, 8.80322e-2
1.52797e+5, 8.39055e-2
1.67149e+5, 8.04591e-2
1.82849e+5, 7.79196e-2
2.00023e+5, 7.56521e-2
2.18810e+5, 7.35661e-2
2.39362e+5, 7.07092e-2
2.61845e+5, 6.82603e-2
2.86439e+5, 6.63557e-2
3.13343e+5, 6.51011e-2
3.42774e+5, 6.39976e-2
3.74969e+5, 6.30453e-2
4.10188e+5, 6.18209e-2
4.48716e+5, 6.04151e-2
4.90862e+5, 5.91907e-2
5.36966e+5, 5.82384e-2
5.87401e+5, 5.78756e-2
6.42574e+5, 5.76337e-2
7.02928e+5, 5.75581e-2
7.68951e+5, 5.76186e-2
8.41176e+5, 5.78756e-2
9.10402e+5, 5.78627e-2
1.00000e+6, 5.78627e-2
