,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
0,2018,0,0°,IceCube,4.811219443299542e-20,3,4.811219443299542
1,2018,30,30°,IceCube,8.026782211394713e-20,3,8.026782211394714
2,2019,0,0°,IceCube,4.398904575348303e-20,3,4.398904575348303
3,2019,30,30°,IceCube,7.381654442222932e-20,3,7.381654442222932
4,2020,0,0°,IceCube,4.060331346928565e-20,3,4.060331346928565
5,2020,30,30°,IceCube,6.849785340977312e-20,3,6.849785340977313
6,2021,0,0°,IceCube,3.776707117908342e-20,3,3.776707117908342
7,2021,30,30°,IceCube,6.402606624454728e-20,3,6.402606624454728
8,2022,0,0°,IceCube,3.535231954202325e-20,3,3.535231954202325
9,2022,30,30°,IceCube,6.020572314860508e-20,3,6.020572314860508
10,2023,0,0°,IceCube,3.3268479984489645e-20,3,3.3268479984489647
11,2023,30,30°,IceCube,5.689829637587272e-20,3,5.689829637587272
12,2024,0,0°,IceCube,3.144955950143577e-20,3,3.144955950143577
13,2024,30,30°,IceCube,5.4002466034770704e-20,3,5.40024660347707
14,2025,0,0°,IceCube,2.98462096620532e-20,3,2.9846209662053202
15,2025,0,0°,Plenum-1,2.98462096620532e-20,3,2.9846209662053202
16,2025,30,30°,IceCube,5.144262105807299e-20,3,5.144262105807299
17,2025,30,30°,Plenum-1,5.144262105807299e-20,3,5.144262105807299
18,2026,-30,-30°,Plenum-1,5.283825355090994e-19,3,52.83825355090995
19,2026,0,0°,IceCube,2.84209415739522e-20,3,2.84209415739522
20,2026,0,0°,Plenum-1,2.8055267298733954e-20,3,2.8055267298733955
21,2026,30,30°,IceCube,4.916088492865125e-20,3,4.916088492865125
22,2026,30,30°,Plenum-1,4.784411488656322e-20,3,4.784411488656322
23,2027,-30,-30°,Plenum-1,3.136786967342078e-19,3,31.367869673420778
24,2027,0,0°,IceCube,2.7144550597197336e-20,3,2.7144550597197337
25,2027,0,0°,Plenum-1,2.6498997866534245e-20,3,2.6498997866534246
26,2027,30,30°,IceCube,4.711223291634403e-20,3,4.711223291634403
27,2027,30,30°,Plenum-1,4.479690399208364e-20,3,4.479690399208364
28,2028,-30,-30°,Plenum-1,2.3204358213775273e-19,3,23.204358213775272
29,2028,0,0°,IceCube,2.5993987003750943e-20,3,2.5993987003750942
30,2028,0,0°,Plenum-1,2.5281849251983862e-20,3,2.5281849251983863
31,2028,30,30°,IceCube,4.5260995285791613e-20,3,4.526099528579161
32,2028,30,30°,Plenum-1,4.2178664460961246e-20,3,4.217866446096124
33,2029,-30,-30°,Plenum-1,1.4908159895471423e-19,3,14.908159895471423
34,2029,0,0°,IceCube,2.4950847287302922e-20,3,2.4950847287302924
35,2029,0,0°,Plenum-1,2.3885710980351125e-20,3,2.3885710980351127
36,2029,30,30°,IceCube,4.357863185526256e-20,3,4.357863185526256
37,2029,30,30°,Plenum-1,3.9111056766838636e-20,3,3.9111056766838637
38,2030,-30,-30°,Plenum-1,1.1345410800583363e-19,3,11.345410800583362
39,2030,0,0°,IceCube,2.4000180716510688e-20,3,2.400018071651069
40,2030,0,0°,Plenum-1,2.2524634507635672e-20,3,2.252463450763567
41,2030,30,30°,IceCube,4.204192120559545e-20,3,4.2041921205595445
42,2030,30,30°,Plenum-1,3.6489460604294555e-20,3,3.6489460604294552
43,2031,-30,-30°,Plenum-1,9.309814172357453e-20,3,9.309814172357452
44,2031,0,0°,IceCube,2.3129758055022867e-20,3,2.312975805502287
45,2031,0,0°,Plenum-1,2.1334592082395926e-20,3,2.1334592082395925
46,2031,30,30°,IceCube,4.063184159570893e-20,3,4.063184159570893
47,2031,30,30°,Plenum-1,3.428034446177396e-20,3,3.428034446177396
48,2032,-30,-30°,Plenum-1,7.471413975873333e-20,3,7.4714139758733324
49,2032,0,0°,IceCube,2.24055969790636e-20,3,2.24055969790636
50,2032,0,0°,Plenum-1,2.0102142732875184e-20,3,2.0102142732875183
51,2032,30,30°,IceCube,3.933397662571063e-20,3,3.933397662571063
52,2032,30,30°,Plenum-1,3.188702144968785e-20,3,3.1887021449687847
53,2033,-30,-30°,Plenum-1,6.315298535011116e-20,3,6.315298535011117
54,2033,0,0°,IceCube,2.1652301782735998e-20,3,2.1652301782735996
55,2033,0,0°,Plenum-1,1.902841917437622e-20,3,1.902841917437622
56,2033,30,30°,IceCube,3.8130975264226415e-20,3,3.8130975264226414
57,2033,30,30°,Plenum-1,2.984945383998643e-20,3,2.984945383998643
